GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2015 Inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)
1500000US270030502172,270030502172,"Block Group 2, Census Tract 502.17, Anoka County, Minnesota",100781,19509
1500000US270030502181,270030502181,"Block Group 1, Census Tract 502.18, Anoka County, Minnesota",86719,13010
1500000US270030502182,270030502182,"Block Group 2, Census Tract 502.18, Anoka County, Minnesota",87401,19020
1500000US270030502191,270030502191,"Block Group 1, Census Tract 502.19, Anoka County, Minnesota",87083,17270
1500000US270030502192,270030502192,"Block Group 2, Census Tract 502.19, Anoka County, Minnesota",97639,20728
1500000US270030502201,270030502201,"Block Group 1, Census Tract 502.20, Anoka County, Minnesota",112188,25021
1500000US270030502202,270030502202,"Block Group 2, Census Tract 502.20, Anoka County, Minnesota",63864,12404
1500000US270030502203,270030502203,"Block Group 3, Census Tract 502.20, Anoka County, Minnesota",87452,27283
1500000US270030502204,270030502204,"Block Group 4, Census Tract 502.20, Anoka County, Minnesota",77115,51764
1500000US270030502211,270030502211,"Block Group 1, Census Tract 502.21, Anoka County, Minnesota",84028,20269
1500000US270030502212,270030502212,"Block Group 2, Census Tract 502.21, Anoka County, Minnesota",91282,4332
1500000US270030502213,270030502213,"Block Group 3, Census Tract 502.21, Anoka County, Minnesota",106125,15733
1500000US270030502221,270030502221,"Block Group 1, Census Tract 502.22, Anoka County, Minnesota",94732,8431
1500000US270030502222,270030502222,"Block Group 2, Census Tract 502.22, Anoka County, Minnesota",100750,17982
1500000US270030502223,270030502223,"Block Group 3, Census Tract 502.22, Anoka County, Minnesota",122045,21217
1500000US270030502224,270030502224,"Block Group 4, Census Tract 502.22, Anoka County, Minnesota",107404,9902
1500000US270030502231,270030502231,"Block Group 1, Census Tract 502.23, Anoka County, Minnesota",94712,9561
1500000US270030502241,270030502241,"Block Group 1, Census Tract 502.24, Anoka County, Minnesota",98594,11753
1500000US270030502242,270030502242,"Block Group 2, Census Tract 502.24, Anoka County, Minnesota",84875,9281
1500000US270030502251,270030502251,"Block Group 1, Census Tract 502.25, Anoka County, Minnesota",89135,20341
1500000US270030502252,270030502252,"Block Group 2, Census Tract 502.25, Anoka County, Minnesota",94898,12719
1500000US270030502261,270030502261,"Block Group 1, Census Tract 502.26, Anoka County, Minnesota",94821,16405
1500000US270030502271,270030502271,"Block Group 1, Census Tract 502.27, Anoka County, Minnesota",94219,19247
1500000US270030502272,270030502272,"Block Group 2, Census Tract 502.27, Anoka County, Minnesota",75975,7826
1500000US270030502281,270030502281,"Block Group 1, Census Tract 502.28, Anoka County, Minnesota",81597,14640
1500000US270030502282,270030502282,"Block Group 2, Census Tract 502.28, Anoka County, Minnesota",79453,10504
1500000US270030502291,270030502291,"Block Group 1, Census Tract 502.29, Anoka County, Minnesota",102083,20587
1500000US270030502292,270030502292,"Block Group 2, Census Tract 502.29, Anoka County, Minnesota",75563,17299
1500000US270030502301,270030502301,"Block Group 1, Census Tract 502.30, Anoka County, Minnesota",122545,11370
1500000US270030502321,270030502321,"Block Group 1, Census Tract 502.32, Anoka County, Minnesota",96029,13586
1500000US270030502322,270030502322,"Block Group 2, Census Tract 502.32, Anoka County, Minnesota",84050,12734
1500000US270030502331,270030502331,"Block Group 1, Census Tract 502.33, Anoka County, Minnesota",83750,21918
1500000US270030502332,270030502332,"Block Group 2, Census Tract 502.33, Anoka County, Minnesota",101094,11707
1500000US270030502341,270030502341,"Block Group 1, Census Tract 502.34, Anoka County, Minnesota",86576,12297
1500000US270030502342,270030502342,"Block Group 2, Census Tract 502.34, Anoka County, Minnesota",84145,9628
1500000US270030502351,270030502351,"Block Group 1, Census Tract 502.35, Anoka County, Minnesota",71528,16126
1500000US270030502352,270030502352,"Block Group 2, Census Tract 502.35, Anoka County, Minnesota",58523,11929
1500000US270030502361,270030502361,"Block Group 1, Census Tract 502.36, Anoka County, Minnesota",121625,13137
1500000US270030502362,270030502362,"Block Group 2, Census Tract 502.36, Anoka County, Minnesota",121172,15843
1500000US270030502371,270030502371,"Block Group 1, Census Tract 502.37, Anoka County, Minnesota",81970,27342
